"","adm1_en","adm1_code","adm2_en","adm2_code","district_PSLM","district_PSLM_num","variable","value"
"182","Khyber Pakhtunkhwa","PK2","North Waziristan","PK236","north waziristan",122,"dist_high_school","2.3528192"
"183","Khyber Pakhtunkhwa","PK2","Nowshera","PK218","nowshera",123,"dist_high_school","1.5617323"
"184","Khyber Pakhtunkhwa","PK2","Orakzai","PK237","orakzai",124,"dist_high_school","2.3296473"
"185","Khyber Pakhtunkhwa","PK2","Peshawar","PK219","peshawar",125,"dist_high_school","1.9052802"
"186","Khyber Pakhtunkhwa","PK2","Shangla","PK220","shangla",126,"dist_high_school","0.84511638"
"187","Khyber Pakhtunkhwa","PK2","South Waziristan","PK238","south waziristan",127,"dist_high_school","2.7425928"
"188","Khyber Pakhtunkhwa","PK2","Swabi","PK221","swabi",128,"dist_high_school","0.99397039"
"189","Khyber Pakhtunkhwa","PK2","Swat","PK222","swat",129,"dist_high_school","1.682487"
"190","Khyber Pakhtunkhwa","PK2","Tank","PK229","tank",130,"dist_high_school","2.4346631"
"191","Khyber Pakhtunkhwa","PK2","Tor Ghar","PK231","tor garh",131,"dist_high_school","3.938441"
"192","Khyber Pakhtunkhwa","PK2","Upper Dir","PK230","upper dir",132,"dist_high_school","3.5100868"
"193","Khyber Pakhtunkhwa","PK2","Abbottabad","PK201","abbottabad",101,"dist_police","2.9680357"
"194","Khyber Pakhtunkhwa","PK2","Bajaur","PK232","bajur",102,"dist_police","2.0422988"
"195","Khyber Pakhtunkhwa","PK2","Bannu","PK202","bannu",103,"dist_police","2.4055431"
"196","Khyber Pakhtunkhwa","PK2","Batagram","PK203","batagram",104,"dist_police","2.6032741"
"197","Khyber Pakhtunkhwa","PK2","Buner","PK204","bunair",105,"dist_police","1.9740797"
"198","Khyber Pakhtunkhwa","PK2","Charsadda","PK205","charsada",106,"dist_police","1.7787926"
"199","Khyber Pakhtunkhwa","PK2","Chitral","PK206","chitral",107,"dist_police","3.5851007"
"200","Khyber Pakhtunkhwa","PK2","Dera Ismail Khan","PK207","d. i. khan",108,"dist_police","2.9293423"
"201","Khyber Pakhtunkhwa","PK2","Hangu","PK208","hangu",109,"dist_police","2.753473"
"202","Khyber Pakhtunkhwa","PK2","Haripur","PK209","haripur",110,"dist_police","2.3611069"
"203","Khyber Pakhtunkhwa","PK2","Karak","PK210","karak",111,"dist_police","3.4983294"
"204","Khyber Pakhtunkhwa","PK2","Khyber","PK233","khyber",112,"dist_police","3.0825186"
"205","Khyber Pakhtunkhwa","PK2","Kohat","PK211","kohat",113,"dist_police","1.34618"
"206","Khyber Pakhtunkhwa","PK2","Kohistan","PK212","kohistan",114,"dist_police","3.2970278"
"207","Khyber Pakhtunkhwa","PK2","Kurram","PK234","kurram",115,"dist_police","3.5603333"
"208","Khyber Pakhtunkhwa","PK2","Lakki Marwat","PK213","lakki marwat",116,"dist_police","3.4576256"
"209","Khyber Pakhtunkhwa","PK2","Lower Dir","PK214","lower dir",117,"dist_police","3.58582"
"210","Khyber Pakhtunkhwa","PK2","Malakand PA","PK215","malakand",118,"dist_police","2.0283539"
"211","Khyber Pakhtunkhwa","PK2","Mansehra","PK216","mansehra",119,"dist_police","3.5024254"
"212","Khyber Pakhtunkhwa","PK2","Mardan","PK217","mardan",120,"dist_police","2.1838486"
"213","Khyber Pakhtunkhwa","PK2","Mohmand","PK235","mohmand",121,"dist_police","1.2773007"
"214","Khyber Pakhtunkhwa","PK2","North Waziristan","PK236","north waziristan",122,"dist_police","3.3941441"
"215","Khyber Pakhtunkhwa","PK2","Nowshera","PK218","nowshera",123,"dist_police","2.4731834"
"216","Khyber Pakhtunkhwa","PK2","Orakzai","PK237","orakzai",124,"dist_police","1.6866233"
"217","Khyber Pakhtunkhwa","PK2","Peshawar","PK219","peshawar",125,"dist_police","1.9267231"
"218","Khyber Pakhtunkhwa","PK2","Shangla","PK220","shangla",126,"dist_police","0.82392526"
"219","Khyber Pakhtunkhwa","PK2","South Waziristan","PK238","south waziristan",127,"dist_police","1.9437099"
"220","Khyber Pakhtunkhwa","PK2","Swabi","PK221","swabi",128,"dist_police","1.9937427"
"221","Khyber Pakhtunkhwa","PK2","Swat","PK222","swat",129,"dist_police","2.7484865"
"222","Khyber Pakhtunkhwa","PK2","Tank","PK229","tank",130,"dist_police","3.9056721"
"223","Khyber Pakhtunkhwa","PK2","Tor Ghar","PK231","tor garh",131,"dist_police","3.83442"
"224","Khyber Pakhtunkhwa","PK2","Upper Dir","PK230","upper dir",132,"dist_police","3.39275"
"225","Khyber Pakhtunkhwa","PK2","Abbottabad","PK201","abbottabad",101,"dist_bank","3.1180725"
"226","Khyber Pakhtunkhwa","PK2","Bajaur","PK232","bajur",102,"dist_bank","3.516571"
"227","Khyber Pakhtunkhwa","PK2","Bannu","PK202","bannu",103,"dist_bank","3.6754627"
"228","Khyber Pakhtunkhwa","PK2","Batagram","PK203","batagram",104,"dist_bank","2.5605137"
"229","Khyber Pakhtunkhwa","PK2","Buner","PK204","bunair",105,"dist_bank","3.0770004"
"230","Khyber Pakhtunkhwa","PK2","Charsadda","PK205","charsada",106,"dist_bank","2.7041149"
"231","Khyber Pakhtunkhwa","PK2","Chitral","PK206","chitral",107,"dist_bank","3.7318451"
"232","Khyber Pakhtunkhwa","PK2","Dera Ismail Khan","PK207","d. i. khan",108,"dist_bank","3.1530097"
"233","Khyber Pakhtunkhwa","PK2","Hangu","PK208","hangu",109,"dist_bank","3.2880404"
"234","Khyber Pakhtunkhwa","PK2","Haripur","PK209","haripur",110,"dist_bank","2.7224267"
"235","Khyber Pakhtunkhwa","PK2","Karak","PK210","karak",111,"dist_bank","3.8687599"
"236","Khyber Pakhtunkhwa","PK2","Khyber","PK233","khyber",112,"dist_bank","2.1480637"
"237","Khyber Pakhtunkhwa","PK2","Kohat","PK211","kohat",113,"dist_bank","2.6487434"
"238","Khyber Pakhtunkhwa","PK2","Kohistan","PK212","kohistan",114,"dist_bank","3.5384204"
"239","Khyber Pakhtunkhwa","PK2","Kurram","PK234","kurram",115,"dist_bank","3.6986248"
