"","adm1_en","adm2_en","variable","value"
"242","Khyber Pakhtunkhwa","FR Tank","pop_boys_high_student",0
"243","Khyber Pakhtunkhwa","Hangu","pop_boys_high_student",8529
"244","Khyber Pakhtunkhwa","Haripur","pop_boys_high_student",25125
"245","Khyber Pakhtunkhwa","Karak","pop_boys_high_student",21624
"246","Khyber Pakhtunkhwa","Khyber","pop_boys_high_student",0
"247","Khyber Pakhtunkhwa","Kohat","pop_boys_high_student",23159
"248","Khyber Pakhtunkhwa","Kohistan","pop_boys_high_student",2046
"249","Khyber Pakhtunkhwa","Kurram","pop_boys_high_student",0
"250","Khyber Pakhtunkhwa","Lakki Marwat","pop_boys_high_student",23366
"251","Khyber Pakhtunkhwa","Lower Dir","pop_boys_high_student",40833
"252","Khyber Pakhtunkhwa","Malakand PA","pop_boys_high_student",21509
"253","Khyber Pakhtunkhwa","Mansehra","pop_boys_high_student",29294
"254","Khyber Pakhtunkhwa","Mardan","pop_boys_high_student",53925
"255","Khyber Pakhtunkhwa","Mohmand","pop_boys_high_student",0
"256","Khyber Pakhtunkhwa","North Waziristan","pop_boys_high_student",0
"257","Khyber Pakhtunkhwa","Nowshera","pop_boys_high_student",27535
"258","Khyber Pakhtunkhwa","Orakzai","pop_boys_high_student",0
"259","Khyber Pakhtunkhwa","Peshawar","pop_boys_high_student",48241
"260","Khyber Pakhtunkhwa","Shangla","pop_boys_high_student",12525
"261","Khyber Pakhtunkhwa","South Waziristan","pop_boys_high_student",0
"262","Khyber Pakhtunkhwa","Swabi","pop_boys_high_student",42100
"263","Khyber Pakhtunkhwa","Swat","pop_boys_high_student",37816
"264","Khyber Pakhtunkhwa","Tank","pop_boys_high_student",4993
"265","Khyber Pakhtunkhwa","Tor Ghar","pop_boys_high_student",866
"266","Khyber Pakhtunkhwa","Upper Dir","pop_boys_high_student",21552
"267","Khyber Pakhtunkhwa","Abbottabad","girls_primary_str",0.0633257226369946
"268","Khyber Pakhtunkhwa","Bajaur","girls_primary_str",NA
"269","Khyber Pakhtunkhwa","Bannu","girls_primary_str",0.0800263352481939
"270","Khyber Pakhtunkhwa","Batagram","girls_primary_str",0.155511205697797
"271","Khyber Pakhtunkhwa","Buner","girls_primary_str",0.377582113466278
"272","Khyber Pakhtunkhwa","Charsadda","girls_primary_str",0.11915235224285
"273","Khyber Pakhtunkhwa","Chitral","girls_primary_str",0.259398606223377
"274","Khyber Pakhtunkhwa","Dera Ismail Khan","girls_primary_str",0.116591281662574
"275","Khyber Pakhtunkhwa","FR Bannu","girls_primary_str",NA
"276","Khyber Pakhtunkhwa","FR Dera Ismail Khan","girls_primary_str",NA
"277","Khyber Pakhtunkhwa","FR Kohat","girls_primary_str",NA
"278","Khyber Pakhtunkhwa","FR Lakki Marwat","girls_primary_str",NA
"279","Khyber Pakhtunkhwa","FR Peshawar","girls_primary_str",NA
"280","Khyber Pakhtunkhwa","FR Tank","girls_primary_str",88
"281","Khyber Pakhtunkhwa","Hangu","girls_primary_str",0.663429854892013
"282","Khyber Pakhtunkhwa","Haripur","girls_primary_str",0.103091594390708
"283","Khyber Pakhtunkhwa","Karak","girls_primary_str",0.106273551511621
"284","Khyber Pakhtunkhwa","Khyber","girls_primary_str",NA
"285","Khyber Pakhtunkhwa","Kohat","girls_primary_str",0.175615920851897
"286","Khyber Pakhtunkhwa","Kohistan","girls_primary_str",0.185398426939522
"287","Khyber Pakhtunkhwa","Kurram","girls_primary_str",NA
"288","Khyber Pakhtunkhwa","Lakki Marwat","girls_primary_str",0.126339661172123
"289","Khyber Pakhtunkhwa","Lower Dir","girls_primary_str",0.128182726165176
"290","Khyber Pakhtunkhwa","Malakand PA","girls_primary_str",0.212836427608041
"291","Khyber Pakhtunkhwa","Mansehra","girls_primary_str",0.072028155289066
"292","Khyber Pakhtunkhwa","Mardan","girls_primary_str",0.0909112822242199
"293","Khyber Pakhtunkhwa","Mohmand","girls_primary_str",NA
"294","Khyber Pakhtunkhwa","North Waziristan","girls_primary_str",NA
"295","Khyber Pakhtunkhwa","Nowshera","girls_primary_str",0.150158214484505
"296","Khyber Pakhtunkhwa","Orakzai","girls_primary_str",NA
"297","Khyber Pakhtunkhwa","Peshawar","girls_primary_str",0.15558145624257
"298","Khyber Pakhtunkhwa","Shangla","girls_primary_str",0.337783033103608
"299","Khyber Pakhtunkhwa","South Waziristan","girls_primary_str",NA
"300","Khyber Pakhtunkhwa","Swabi","girls_primary_str",0.109243321075997
"301","Khyber Pakhtunkhwa","Swat","girls_primary_str",0.130043396173644
"302","Khyber Pakhtunkhwa","Tank","girls_primary_str",0.353311522365466
"303","Khyber Pakhtunkhwa","Tor Ghar","girls_primary_str",1.302544229054
"304","Khyber Pakhtunkhwa","Upper Dir","girls_primary_str",0.250042088921041
