"","Division_Name","District_Name","Tehsil_Name","Tehsil_Mean_RWI","Tehsil_Min_RWI","Tehsil_Max_RWI","Mean_LSI_Weighted","Mean_LSI_Unweighted","Mean_AI_Weighted","Mean_AI_Unweighted","Mean_LSI_Weighted_Transformed","Mean_AI_Weighted_Transformed","admin2Name","district","admin1Pcod","admin2Pcod"
"81","F.A.T.A.","Orakzai","Central Orakzai","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Central Orakzai","Orakzai","KP30","KP30001"
"82","F.A.T.A.","Orakzai","Ismailzai","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ismailzai","Orakzai","KP30","KP30002"
"83","F.A.T.A.","Orakzai","Lower Orakzai","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Lower Orakzai","Orakzai","KP30","KP30003"
"84","F.A.T.A.","Orakzai","Upper Orakzai","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Upper Orakzai","Orakzai","KP30","KP30004"
"85","Peshawar","Peshawar","Peshawar","0.38854480286738402","-0.73799999999999999","1.548","2.0512045218682199E-4","0.120131169822562","2.9576362906613598E-4","0.28781955124859798","0","0","Peshawar","Peshawar","KP31","KP31001"
"86","Malakand","Shangla","Alpuri","-0.122034188034188","-0.93","0.76100000000000001","0.32366269208374499","0.24342105263157901","0.49374278245951603","0.40877193463476102","2.1502343802542598E-2","3.9613296365752497E-2","Alpuri","Shangla","KP32","KP32001"
"87","Malakand","Shangla","Bisham","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Bisham","Shangla","KP32","KP32002"
"88","Malakand","Shangla","Chiksar","-0.154948275862069","-0.88100000000000001","0.86399999999999999","9.2209804920281406E-3","0.119938564646747","1.32970545943145E-2","0.28781532678265198","5.9934328101954803E-4","1.04372703145407E-3","Chiksar","Shangla","KP32","KP32003"
"89","Malakand","Shangla","Martung","-0.11741176470588199","-0.61099999999999999","0.56599999999999995","9.2025114268850204E-3","0.11994984675397","1.32693606383864E-2","0.28768459699402299","5.9811552126603303E-4","1.04150379604711E-3","Martung","Shangla","KP32","KP32004"
"90","Malakand","Shangla","Puran","-0.15843859649122799","-0.73299999999999998","0.78500000000000003","9.2026751476806702E-3","0.120716076901644","1.3269038542660601E-2","0.28824185526248097","5.9812640485987798E-4","1.0414779386136699E-3","Puran","Shangla","KP32","KP32005"
"91","F.A.T.A.","South Waziristan","Birmal","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Birmal","South Waziristan","KP33","KP33001"
"92","F.A.T.A.","South Waziristan","Ladha","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ladha","South Waziristan","KP33","KP33002"
"93","F.A.T.A.","South Waziristan","Makin","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Makin","South Waziristan","KP33","KP33003"
"94","F.A.T.A.","South Waziristan","Sararogha","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Sararogha","South Waziristan","KP33","KP33004"
"95","F.A.T.A.","South Waziristan","Serwekai","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Serwekai","South Waziristan","KP33","KP33005"
"96","F.A.T.A.","South Waziristan","Tiarza","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Tiarza","South Waziristan","KP33","KP33006"
"97","F.A.T.A.","South Waziristan","Toi Khulla","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Toi Khulla","South Waziristan","KP33","KP33007"
"98","F.A.T.A.","South Waziristan","Wana","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Wana","South Waziristan","KP33","KP33008"
"99","Mardan","Swabi","Lahor","3.7424528301886799E-2","-0.749","0.89300000000000002","1.5356031687553499E-3","0.120063798081401","2.2182074703394499E-3","0.28787526518003798","8.8445902350322905E-5","1.54331335938301E-4","Lahor","Swabi","KP34","KP34001"
"100","Mardan","Swabi","Swabi","2.8737588652482299E-2","-0.91800000000000004","0.99199999999999999","1.5418866923263799E-3","0.12041689931137201","2.2211657684045902E-3","0.28809945303555001","8.8863609326338795E-5","1.5456882432817999E-4","Swabi","Swabi","KP34","KP34002"
"101","Mardan","Swabi","Topi","-4.3499999999999997E-2","-0.76800000000000002","0.98499999999999999","3.0817908008939901E-3","0.120736524163569","4.4453428582911401E-3","0.28836741534833799","1.9123112355193001E-4","3.3312292004532702E-4","Topi","Swabi","KP34","KP34003"
"102","Malakand","Swat","Babuzai","3.88076923076923E-2","-0.74299999999999999","1.1140000000000001","2.3105131014234002E-3","0.120233938547486","3.3275500122262199E-3","0.28790736086042201","1.3995924211908001E-4","2.43387938179113E-4","Babuzai","Swat","KP35","KP35001"
"103","Malakand","Swat","Bahrain","-0.2476875","-0.877","1.0069999999999999","1.0739555256064699","0.22023809523809501","2.19189881448369","0.44444445201328803","7.1379223721019902E-2","0.17593909347220499","Bahrain","Swat","KP35","KP35002"
"104","Malakand","Swat","Barikot","-0.14977647058823501","-0.77400000000000002","0.84599999999999997","9.2191721354820694E-3","0.120432357043236","1.32919632135583E-2","0.28819154399957603","5.9922306771313205E-4","1.0433183019104501E-3","Barikot","Swat","KP35","KP35003"
"105","Malakand","Swat","Charbagh","-0.160142857142857","-0.92500000000000004","0.502","9.2254702776543608E-3","0.12004466778336099","1.33038712843172E-2","0.28796762103627699","5.9964174648334198E-4","1.04427426662016E-3","Charbagh","Swat","KP35","KP35004"
"106","Malakand","Swat","Kabal","-9.1176470588235303E-2","-0.98899999999999999","1.0449999999999999","1.3165999587195401E-3","0.12032407776272799","1.8967437171564E-3","0.287712803626192","7.3887324258311099E-5","1.2852463645540799E-4","Kabal","Swat","KP35","KP35005"
"107","Malakand","Swat","Kalam","-0.40643939393939399","-0.94499999999999995","1.4039999999999999","9.2369574820731493E-3","0.12014393515930701","1.33129105934676E-2","0.28777716187224001","6.00405376215356E-4","1.0449999308123699E-3","Kalam","Swat","KP35","KP35006"
"108","Malakand","Swat","Khwazakhela","-6.5611940298507504E-2","-0.68500000000000005","0.91700000000000004","4.56467670593853E-3","0.121474004424779","6.5888176640003203E-3","0.28853245355205298","2.8980826425504597E-4","5.0519833947400695E-4","Khwazakhela","Swat","KP35","KP35007"
"109","Malakand","Swat","Matta Khararai","-8.8833333333333306E-2","-0.84599999999999997","1.036","4.6116204423477403E-3","0.119904369677509","6.6452463406729799E-3","0.287938019969885","2.92928921949207E-4","5.0972836155795695E-4","Matta Khararai","Swat","KP35","KP35008"
"110","Malakand","Swat","Matta Sebujni","-0.198051282051282","-0.81399999999999995","0.60599999999999998","3.49931139730514","0.41447368421052599","4.0354599445883004","0.51754386252478501","0.232608517361374","0.32393782611893901","Matta Sebujni","Swat","KP35","KP35009"
"111","Dera Ismail Khan","Tank","Tank","-0.38673003802281403","-1.1459999999999999","0.72299999999999998","3.0545489381794901E-3","0.12026401111625799","4.4162351229341803E-3","0.28855952347605901","1.8942017847201E-4","3.3078618823171902E-4","Tank","Tank","KP36","KP36001"
"112","Hazara","Tor Ghar","Tor Ghar","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Tor Ghar","Tor Ghar","KP37","KP37001"
"113","Malakand","Upper Dir","Barawal","-0.23326315789473701","-0.83","0.80700000000000005","9.1563974643319394E-3","0.121081830790569","1.31959758478943E-2","0.28821082348301102","5.9505002407605502E-4","1.03561255880468E-3","Barawal","Upper Dir","KP38","KP38001"
"114","Malakand","Upper Dir","Dir","-0.210463768115942","-0.98499999999999999","1.284","4.5517323503416101E-3","0.120908460471567","6.5926948816887997E-3","0.28821082347267701","2.8894776813821797E-4","5.0550959755746403E-4","Dir","Upper Dir","KP38","KP38002"
"115","Malakand","Upper Dir","Kalkot","-0.44276315789473702","-0.82099999999999995","0.183","7.0101351351351404","0.3125","9.3468470347894197","0.41666667163372001","0.46599597111663199","0.75032919720484703","Kalkot","Upper Dir","KP38","KP38003"
"116","Malakand","Upper Dir","Wari","-0.199961290322581","-0.84299999999999997","1.1259999999999999","3.0389809422441002E-3","0.120182087069045","4.3810348583848803E-3","0.286856461396576","1.8838527179404699E-4","3.2796035595685999E-4","Wari","Upper Dir","KP38","KP38004"
